Nome da Origem;Player;Nacionality;Position.1;Position.2;Age;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Expected xG;Expected npxG;Expected xAG;Expected npxG+xAG;Progression PrgC;Progression PrgP;Progression PrgR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK;Per 90 Minutes xG;Per 90 Minutes xAG;Per 90 Minutes xG+xAG;Per 90 Minutes npxG;Per 90 Minutes npxG+xAG
tabela_Botafogo-RJ.xlsx;Matheus Martins;br BRA;FW;MF;20;14;4;456;5,1;2;0;2;2;0;0;0;0;1,6;1,6;1;2,6;26;22;49;0,39;0;0,39;0,39;0,39;0,31;0,19;0,51;0,31;0,51
tabela_Botafogo-RJ.xlsx;Hugo;br BRA;DF;;22;9;4;443;4,9;0;1;1;0;0;0;0;0;0,3;0,3;1;1,2;9;22;15;0;0,2;0,2;0;0,2;0,06;0,19;0,25;0,06;0,25
tabela_Botafogo-RJ.xlsx;Gatito Fernández;py PAR;GK;;35;4;4;360;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Allan;br BRA;MF;DF;33;11;2;313;3,5;0;1;1;0;0;0;2;0;0;0;0,2;0,2;2;15;4;0;0,29;0,29;0;0,29;0,01;0,05;0,05;0,01;0,05
tabela_Botafogo-RJ.xlsx;Carlos Alberto;br BRA;FW;;21;7;2;212;2,4;1;0;1;1;0;0;0;0;1,6;1,6;0,1;1,7;7;4;7;0,42;0;0,42;0,42;0,42;0,67;0,05;0,72;0,67;0,72
tabela_Botafogo-RJ.xlsx;Kauê;br BRA;MF;FW;19;8;2;167;1,9;1;0;1;1;0;0;0;0;0,2;0,2;0;0,2;4;4;10;0,54;0;0,54;0,54;0,54;0,1;0,01;0,11;0,1;0,11
tabela_Botafogo-RJ.xlsx;Matheus Nascimento;br BRA;FW;;19;1;1;24;0,3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Diego Hernández;uy URU;FW;MF;23;10;0;207;2,3;0;2;2;0;0;0;3;0;0,1;0,1;0,5;0,6;3;9;13;0;0,87;0,87;0;0,87;0,03;0,22;0,24;0,03;0,24
tabela_Botafogo-RJ.xlsx;Yarlen Augusto;br BRA;MF;;17;4;0;79;0,9;0;0;0;0;0;0;1;0;0;0;0;0;1;0;6;0;0;0;0;0;0,04;0;0,04;0,04;0,04
tabela_Botafogo-RJ.xlsx;Patrick de Paula;br BRA;MF;FW;24;4;0;30;0,3;0;0;0;0;0;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0;0,13;0;0,13;0,13;0,13
